ISCO 08 Code,ISEI value,Title DE/FR
0000,53.0,"DE: Angehörige der regulären Streitkräfte
FR: Professions militaires"
0100,65.0,"DE: Offiziere in regulären Streitkräften
FR: Officiers des forces armées"
0110,65.0,"DE: Offiziere in regulären Streitkräften
FR: Officiers des forces armées"
0200,53.0,"DE: Unteroffiziere in regulären Streitkräften
FR: Sous-officiers des forces armées"
0210,53.0,"DE: Unteroffiziere in regulären Streitkräften
FR: Sous-officiers des forces armées"
0300,30.0,"DE: Angehörige der regulären Streitkräfte in sonstigen Rängen
FR: Autres membres des forces armées"
0310,30.0,"DE: Angehörige der regulären Streitkräfte in sonstigen Rängen
FR: Autres membres des forces armées"
1000,62.0,"DE: Führungskräfte
FR: Directeurs, cadres de direction et gérants"
1100,69.0,"DE: Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften
FR: Directeurs généraux, cadres supérieurs et membres de l’exécutif et des corps législatifs"
1110,68.0,"DE: Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete
FR: Membres des corps législatifs et cadres supérieurs de l’administration publique"
1111,66.0,"DE: Angehörige gesetzgebender Körperschaften
FR: Membres des corps législatifs"
1112,70.0,"DE: Leitende Verwaltungsbedienstete
FR: Cadres supérieurs de l’administration publique"
1113,57.0,"DE: Traditionelle Dorf- und Stammeshäuptlinge
FR: Chefs traditionnels et chefs de village"
1114,68.0,"DE: Leitende Bedienstete von Interessenorganisationen
FR: Dirigeants et cadres supérieurs d’organisations spécialisées"
1120,70.0,"DE: Geschäftsführer und Vorstände
FR: Directeurs généraux d’entreprise"
1200,68.0,"DE: Führungskräfte im kaufmännischen Bereich
FR: Directeurs de services administratifs et commerciaux"
1210,68.0,"DE: Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen
FR: Directeurs de services administratifs"
1211,68.0,"DE: Führungskräfte im Bereich Finanzen
FR: Directeurs et cadres de direction, services financiers"
1212,68.0,"DE: Führungskräfte im Personalwesen
FR: Directeurs et cadres de direction, ressources humaines"
1213,68.0,"DE: Führungskräfte in Unternehmenspolitik und -planung
FR: Directeurs et cadres de direction, stratégie et planifications"
1219,63.0,"DE: Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt
FR: Directeurs des services administratifs non classés ailleurs"
1220,68.0,"DE: Führungskräfte in Vertrieb, Marketing und Entwicklung
FR: Directeurs et cadres de direction, ventes, commercialisation et développement"
1221,66.0,"DE: Führungskräfte in Vertrieb und Marketing
FR: Directeurs et cadres de direction, ventes et commercialisation"
1222,67.0,"DE: Führungskräfte in Werbung und Öffentlichkeitsarbeit
FR: Directeurs et cadres de direction, publicité et relations publiques"
1223,79.0,"DE: Führungskräfte in Forschung und Entwicklung
FR: Directeurs et cadres de direction, recherche-développement"
1300,60.0,"DE: Führungskräfte in der Produktion und bei speziellen Dienstleistungen
FR: Directeurs et cadres de direction, production et services spécialisés"
1310,49.0,"DE: Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei
FR: Directeurs et cadres de direction, agriculture, sylviculture et pêche"
1311,60.0,"DE: Führungskräfte in der Produktion in Land- und Forstwirtschaft
FR: Directeurs et cadres de direction, agriculture et sylviculture"
1312,60.0,"DE: Führungskräfte in der Produktion in Aquakultur und Fischerei
FR: Directeurs et cadres de direction, aquaculture et pêche"
1320,60.0,"DE: Führungskräfte in der Produktion bei der Herstellung von Waren, im Bergbau und im Bau sowie in der Logistik
FR: Directeurs et cadres de direction, industries manufacturières, mines, bâtiment et distribution"
1321,63.0,"DE: Führungskräfte in der Produktion bei der Herstellung von Waren
FR: Directeurs et cadres de direction, industrie manufacturière"
1322,60.0,"DE: Führungskräfte in der Produktion im Bergbau
FR: Directeurs et cadres de direction, mines"
1323,59.0,"DE: Führungskräfte in der Produktion im Bau
FR: Directeurs et cadres de direction, bâtiment"
1324,57.0,"DE: Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen
FR: Directeurs et cadres de direction, approvisionnement, distribution et assimilés"
1330,77.0,"DE: Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie
FR: Directeurs et cadres de direction, technologies de l’information et des communications"
1340,59.0,"DE: Führungskräfte in der Erbringung von speziellen Dienstleistungen
FR: Cadres de direction, services spécialisés"
1341,59.0,"DE: Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung
FR: Cadres de direction, garde d’enfants"
1342,59.0,"DE: Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen
FR: Cadres de direction, services de santé"
1343,59.0,"DE: Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung
FR: Cadres de direction, services aux personnes âgées"
1344,59.0,"DE: Führungskräfte in der Erbringung von Dienstleistungen der Sozialfürsorge
FR: Cadres de direction, services sociaux"
1345,59.0,"DE: Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens
FR: Cadres de direction, éducation"
1346,59.0,"DE: Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen
FR: Directeurs et cadres de direction, succursales de banque, services financiers et assurances"
1349,59.0,"DE: Führungskräfte in der Erbringung von speziellen Dienstleistungen, anderweitig nicht genannt
FR: Autres cadres de direction, services spécialisés non classés ailleurs"
1400,53.0,"DE: Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen
FR: Directeurs et gérants de l’hôtellerie, la restauration, le commerce et autres services"
1410,43.0,"DE: Führungskräfte in Hotels und Restaurants
FR: Directeurs et gérants, hôtellerie et restauration"
1411,43.0,"DE: Führungskräfte in Hotels
FR: Directeurs et gérants, hôtellerie"
1412,47.0,"DE: Führungskräfte in Restaurants
FR: Directeurs et gérants, restauration"
1420,56.0,"DE: Führungskräfte in Groß- und Einzelhandel
FR: Directeurs et gérants, commerce de détail et de gros"
1430,59.0,"DE: Führungskräfte in der Erbringung sonstiger Dienstleistungen
FR: Autres directeurs et gérants"
1431,59.0,"DE: Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur
FR: Directeurs et gérants, centres sportifs, centres de loisirs et centres culturels"
1439,59.0,"DE: Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt
FR: Directeurs et gérants, services non classés ailleurs"
2000,65.0,"DE: Akademische Berufe
FR: Professions intellectuelles et scientifiques"
2100,69.0,"DE: Naturwissenschaftler, Mathematiker und Ingenieure
FR: Spécialistes des sciences techniques"
